,en,zh-CN,am,ar,bg,bn,ca,cs,da,de,el,es-419,es,et,fa,fi,fil,fr,gu,he,hi,hr,hu,id,it,ja,kn,ko,lt,lv,ml,mr,ms,nl,no,pl,pt-BR,pt-PT,ro,ru,sk,sl,sr,sv,sw,ta,te,th,tr,uk,vi,zh-TW
chatDocs.selectFile,Drag or select files,拖拽或选择文件,ስለዚህ ፋይል እንዳይምረጡ ወደኋላ ያግኙ ወደኋላ ያምር,اسحب أو اختر الملفات,Плъзнете или изберете файлове,ফাইল টা টেনে অথবা নির্বাচন করুন,Arrossegueu o seleccioneu fitxers,Přetáhněte nebo vyberte soubory,Træk eller vælg filer,Dateien ziehen oder auswählen,Σύρετε ή επιλέξτε αρχεία,Arrastra o selecciona archivos,Arrastra o selecciona archivos,Lohistage või valige failid,پرونده‌ها را بکشید یا انتخاب کنید,Raahaa tai valitse tiedostot,I-drag o piliin ang mga file,Faites glisser ou sélectionnez des fichiers,ફાઇલો ખેંચો અથવા પસંદ કરો,גררו או בחרו קבצים,फ़ाइलें खींचें या चयन करें,Povucite ili odaberite datoteke,Húzza vagy válassza ki a fájlokat,Seret atau pilih file,Trascina o seleziona i file,ファイルをドラッグまたは選択してください,ಫೈಲ್ಗಳನ್ನು ಎಳೆಯಿರಿ ಅಥವಾ ಆಯ್ಕೆಮಾಡಿ,파일을 드래그하거나 선택하세요,Vilkite arba pasirinkite failus,Velciet vai atlasiet failus,ഫയലുകൾ ഇഴുക്കുക അല്ലെങ്കിൽ തിരഞ്ഞെടുക്കുക,फाइल ताना किंवा निवडा,Seret atau pilih fail,Sleep of selecteer bestanden,Dra eller velg filer,Przeciągnij lub wybierz pliki,Arraste ou selecione arquivos,Arraste ou selecione ficheiros,Trageți sau selectați fișierele,Перетащите или выберите файлы,Potiahnite alebo vyberte súbory,Povleci ali izberi datoteke,Prevucite ili izaberite fajlove,Dra eller välj filer,Buruta au chagua faili,கோப்புகளை இழுத்து அல்லது தேர்ந்தெடுக்கவும்,ఫైళ్లను వలయాక లేదా ఎంచుకోండి,ลากรูปหรือเลือกไฟล์,Dosyaları sürükleyin veya seçin,Перетягніть або виберіть файли,Kéo hoặc chọn tệp,拖曳或選擇檔案
chatDocs.msgSettings,Message Settings,消息设置,መልእክት ቅንዓት,إعدادات الرسالة,Настройки за съобщения,মেসেজ সেটিংস,Configuració del missatge,Nastavení zprávy,Beskedindstillinger,Nachrichteneinstellungen,Ρυθμίσεις μηνύματος,Configuración de mensajes,Configuración de mensajes,Sõnumiseaded,تنظیمات پیام,Viestiasetukset,Mga Setting ng Mensahe,Paramètres du message,સંદેશ સેટિંગ્સ,הגדרות הודעה,संदेश सेटिंग्स,Postavke poruke,Üzenet beállítások,Pengaturan Pesan,Impostazioni messaggio,メッセージ設定,ಸಂದೇಶ ಸೆಟ್ಟಿಂಗ್ಗಳು,메시지 설정,Žinutės nustatymai,Ziņojuma iestatījumi,സന്ദേശ ക്രമീകരണങ്ങൾ,संदेश सेटिंग्ज,Tetapan Mesej,Berichtinstellingen,Meldingsinnstillinger,Ustawienia Wiadomości,Configurações de Mensagem,Configurações da Mensagem,Setări Mesaj,Настройки Сообщения,Nastavenia Správy,Nastavitve Sporočila,Podešavanja Poruke,Meddelandeinställningar,Mipangilio ya Ujumbe,செய்தி அமைப்புகள்,సందేశం సెట్టింగ్స్,ตั้งค่าข้อความ,Mesaj Ayarları,Налаштування повідомлення,Cài đặt Tin nhắn,消息設置
chatDocs.editPrompt,Edit Prompt,编辑 Prompt,ማስቀመጥ ስለሚችል,تحرير التلميح,Редакция на подсказка,প্রম্পট সম্পাদনা,Edita la indicació,Upravit upozornění,Rediger prompt,Prompt bearbeiten,Επεξεργασία οδηγίας,Editar Indicación,Editar Indicación,Muuda Viidet,ویرایش هدایت,Muokkaa Vihjetekstiä,I-edit ang Prompt,Éditer l'invite,સૂચના સંપાદિત કરો,ערוך הסבר,प्रम्पट संपादित करें,Uredi uputu,Ugró ablak szerkesztése,Edit Prompt,Modifica Prompt,プロンプトの編集,ಸೂಚನೆ ಸಂಪಾದಿಸಿ,프롬프트 편집,Redaguoti užklausą,Rediģēt Uzvedības norādi,പ്രോംപ്റ്റ് തിരുത്തുക,प्रॉम्प्ट संपादित करा,Edit Prompt,Prompt bewerken,Rediger Prompt,Edytuj Podpowiedź,Editar Prompt,Editar Prompt,Editează Sfat,Редактировать Подсказку,Upraviť Prompt,Uredi Vprašanje,Uredi Prompt,Redigera Prompt,Hariri Prompt,எடிட் ப்ராம்ப்ட்,సవరించండి ప్రాంప్ట్,แก้ไข Prompt,Prompt'u Düzenle,Редагувати Prompt,Chỉnh sửa Prompt,編輯提示
chatDocs.maxLength,Max Length,最大长度,የማከም ስልክ,الحد الأقصى للطول,Максимална дължина,সর্বাধিক দৈর্ঘ্য,Longitud màxima,Maximální délka,Maksimal længde,Maximale Länge,Μέγιστο μήκος,Longitud Máxima,Longitud Máxima,Maksimaalne Pikkus,حداکثر طول,Maksimipituus,Max na Habà,Longueur maximale,મહત્તમ લંબાઇ,אורך מרבי,अधिकतम लंबाई,Maksimalna duljina,Maximális hossz,Panjang Maksimal,Lunghezza massima,最大長,ಗರಿಷ್ಠ ಉದ್ದ,최대 길이,Maksimalus ilgis,Maksimālais garums,പരമാവധി നീളം,अधिकतम लांबी,Panjang Maksimum,Maximale lengte,Maks Lengde,Maksymalna Długość,Comprimento Máximo,Comprimento Máximo,Lungime Maximă,Максимальная Длина,Maximálna Dĺžka,Največja Dolžina,Maksimalna Dužina,Max längd,Urefu Maksimumu,அதிக நீளம்,అత్యధిక పొడవు,ความยาวสูงสุด,Maksimum Uzunluk,Максимальна довжина,Độ dài tối đa,最大長度
chatDocs.maxSendings,Max Sendings,最大发送次数,የመላክ ስልክ,الحد الأقصى لعدد الإرسال,Максимален брой изпращания,সর্বাধিক প্রেরণের সংখ্যা,Nombre màxim d'enviaments,Maximální počet odeslání,Maksimal antal afsendelser,Maximale Anzahl der Sendungen,Μέγιστος αριθμός αποστολών,Máximo de Envíos,Máximo de Envíos,Maksimaalsed Saadetised,حداکثر ارسال‌ها,Maksimilähetykset,Max na Pagsusugo,Nombre maximum d'envois,મહત્તમ મોકલવાની સંખ્યા,מספר שליחות מרבי,अधिकतम भेजने की संख्या,Maksimalni broj slanja,Maximális küldési szám,Jumlah Pengiriman Maksimal,Invii massimi,最大送信回数,ಗರಿಷ್ಠ ಕಳುಹಿಸುವ ಸಂಖ್ಯೆ,최대 전송 횟수,Maksimalus siuntimų skaičius,Maksimālais nosūtījumu skaits,പരമാവധി അയയ്ക്കൽകൾ,अधिकतम पाठवण्यांची संख्या,Penghantaran Maksimum,Maximale verzendingen,Maks Sendings,Maksymalna Liczba Wysyłek,Máximo de Envios,Máximo de Envios,Număr Maxim de Trimiteri,Максимальное Количество Отправок,Maximálny Počet Odoslaní,Največje Pošiljanje,Maksimalan Broj Slanja,Max sändningar,Idadi Kubwa ya Kutuma,அதிக அனுப்புதல்கள்,అత్యంత పంపిణీలు,จำนวนส่งสูงสุด,Maksimum Gönderim,Максимальна кількість відправлень,Số lần gửi tối đa,最大發送次數
chatDocs.sendProgress,Send Progress,发送进度,መላክ ሁኔታ,تقدم الإرسال,Прогрес на изпращане,প্রেরণের অগ্রগতি,Progrés de l'enviament,Průběh odesílání,Send fremskridt,Sendefortschritt,Πρόοδος αποστολής,Progreso de Envío,Progreso de Envío,Saada Edusammud,پیشرفت ارسال,Lähetys etenee,Padala ng Progreso,Progression de l'envoi,મોકલવાનો પ્રગતિ,התקדמות בשליחה,भेजने की प्रगति,Slanje u tijeku,Küldés folyamatban,Kirim Progres,Invio in corso,送信進捗,ಕಳುಹಿಸುತ್ತಿದೆ ಪ್ರೋಗ್ರೆಸ್,전송 진행,Siuntimo eiga,Nosūtīšanas progress,അയയ്ക്കൽ പുരോഗതി,पाठवण्याची प्रगती,Hantar Kemajuan,Verzenden Voortgang,Send Fremskritt,Stan Wysyłki,Progresso de Envio,Progresso de Envio,Progres Trimitere,Прогресс Отправки,Stav Odosielania,Napredek Pošiljanja,Progres Slanja,Sändningsframsteg,Maendeleo ya Kutuma,அனுப்புதல் முன்னேற்றம்,పంపిణీ ప్రోగ్రెస్,ความคืบหน้าในการส่ง,Gönderme İlerlemesi,Прогрес відправлення,Tiến trình Gửi,發送進度
chatDocs.sendCompleted,Send Completed,发送完成,መላክ ተሰነባበት,تم الإرسال,Изпращането завърши,প্রেরণ সম্পন্ন,Enviament completat,Odesílání dokončeno,Send fuldført,Senden abgeschlossen,Η αποστολή ολοκληρώθηκε,Envío Completado,Envío Completado,Saadetud Lõpule,ارسال کامل شد,Lähetys valmis,Padala Natapos,Envoi terminé,મોકલવું પૂર્ણ થયું,שליחה הושלמה,भेजना पूरा हुआ,Slanje završeno,Küldés befejeződött,Kirim Selesai,Invio completato,送信完了,ಕಳುಹಿಸಲಾಗಿದೆ,전송 완료,Siuntimas baigtas,Nosūtīšana pabeigta,അയയ്ക്കല്‍ പൂർത്തമായി,पाठवणे संपले,Hantar Selesai,Verzenden Voltooid,Send Fullført,Wysyłka Zakończona,Envio Concluído,Envio Concluído,Trimitere Completată,Отправка Завершена,Odoslanie Dokončené,Pošiljanje Končano,Slanje Završeno,Sändning slutförd,Kutuma Kumekamilika,அனுப்பல் முடிந்தது,పంపిణీ పూర్తి,ส่งเรียบร้อย,Gönderme Tamamlandı,Відправлення завершено,Gửi hoàn tất,發送完成
chatDocs.msgContent,Message Content,消息内容,መልእክት ይከናወናል,محتوى الرسالة,Съдържание на съобщението,মেসেজের কনটেন্ট,Contingut del missatge,Obsah zprávy,Beskedindhold,Nachrichteninhalt,Περιεχόμενο μηνύματος,Contenido del Mensaje,Contenido del Mensaje,Sõnumi Sisu,محتوای پیام,Viestin Sisältö,Nilalaman ng Mensahe,Contenu du message,સંદેશ સારાંશ,תוכן ההודעה,संदेश सामग्री,Sadržaj poruke,Üzenet tartalom,Konten Pesan,Contenuto messaggio,メッセージ内容,ಸಂದೇಶ ವಿಷಯಾಂತರ,메시지 내용,Žinutės turinys,Ziņojuma saturs,സന്ദേശ ഉള്ളടക്കം,संदेश सामग्री,Kandungan Mesej,Berichtinhoud,Meldingsinnhold,Treść Wiadomości,Conteúdo da Mensagem,Conteúdo da Mensagem,Conținut Mesaj,Содержание Сообщения,Obsah Správy,Vsebina Sporočila,Sadržaj Poruke,Meddelandeinnehåll,Yaliyomo ya Ujumbe,செய்தி உள்ளடக்கம்,సందేశ కంటెంట్,เนื้อหาข้อความ,Mesaj İçeriği,Зміст повідомлення,Nội dung Tin nhắn,消息內容
chatDocs.startChatting,You can start chatting now!,你可以开始聊天了！,እንደሚሰማ መንገድ ተነስቶ ይጀምራል!,يمكنك بدء الدردشة الآن!,Вече можете да започнете чат!,আপনি এখন চ্যাট শুরু করতে পারেন!,Pots començar a xatejar ara!,Můžete začít chatovat nyní!,Du kan begynde at chatte nu!,Sie können jetzt chatten!,Μπορείτε να αρχίσετε τη συνομιλία τώρα!,¡Puedes empezar a chatear ahora!,¡Puedes empezar a chatear ahora!,Võid nüüd vestlust alustada!,اکنون می‌توانید چت را شروع کنید!,Voit aloittaa keskustelun nyt!,Maaari ka nang magsimula ng kausap!,Vous pouvez commencer à discuter maintenant !,તમે હવે ચેટિંગ શરૂ કરી શકો છો!,אתה יכול להתחיל לשוחח כעת!,आप अब चैटिंग शुरू कर सकते हैं!,Možete početi razgovarati sada!,Most kezdheti a beszélgetést!,Anda bisa mulai chatting sekarang!,Puoi iniziare a chattare adesso!,今すぐチャットを始めることができます！,ನೀವು ಈಗ ಚಾಟಿಂಗ್ ಆರಂಭಿಸಬಹುದು!,이제 채팅을 시작할 수 있습니다!,Dabar galite pradėti pokalbį!,Jūs varat sākt čatot tagad!,നിന്ന് നിന്നേക്ക് ചാറ്റിംഗ് ആരംഭിക്കാം!,तुम्ही आता गप्पा सुरू करू शकता!,Anda boleh mula berbual sekarang!,Je kunt nu beginnen met chatten!,Du kan begynne å chatte nå!,Możesz teraz zacząć rozmawiać!,Você pode começar a conversar agora!,Pode começar a conversar agora!,Puteți începe să discutați acum!,Теперь вы можете начать чат!,Teraz môžete začať chýbať!,Lahko začnete klepetati zdaj!,Možete početi sa četovanjem sada!,Du kan börja chatta nu!,Unaweza kuanza kuchat sasa!,நீங்கள் இப்போது உரையாடல் ஆரம்பிக்கலாம்!,మీరు ఇప్పటికే చాటింగ్ ప్రారంభించవచ్చు!,คุณสามารถเริ่มสนทนาได้แล้ว!,Şimdi sohbet etmeye başlayabilirsiniz!,Ви можете почати спілкування зараз!,Bạn có thể bắt đầu trò chuyện ngay bây giờ!,你現在可以開始聊天了！
chatDocs.notSupported,This page does not support automatic sending. Please copy the message and send it manually.,此页面不支持自动发送，请复制消息发送,ይህ ገጽ ራስ-ሰር መላክን አይደግፍም. እባክዎ መልዕክቱን ይቅዱ እና እራስዎ ይላኩ.,هذه الصفحة لا تدعم الإرسال التلقائي. يرجى نسخ الرسالة وإرسالها يدويًا.,"Тази страница не поддържа автоматично изпращане. Моля, копирайте съобщението и го изпратете ръчно.",এই পৃষ্ঠাটি স্বয়ংক্রিয় প্রেরণকে সমর্থন করে না। দয়া করে বার্তাটি অনুলিপি করুন এবং এটি ম্যানুয়ালি প্রেরণ করুন।,Aquesta pàgina no admet l'enviament automàtic. Copieu el missatge i envieu -lo manualment.,Tato stránka nepodporuje automatické odesílání. Zkopírujte zprávu a odešlete ji ručně.,Denne side understøtter ikke automatisk afsendelse. Kopier meddelelsen og send den manuelt.,Diese Seite unterstützt das automatische Senden nicht. Bitte kopieren Sie die Nachricht und senden Sie sie manuell.,Αυτή η σελίδα δεν υποστηρίζει αυτόματη αποστολή. Αντιγράψτε το μήνυμα και στείλτε το χειροκίνητα.,Esta página no admite el envío automático. Copie el mensaje y envíelo manualmente.,Esta página no admite el envío automático. Copie el mensaje y envíelo manualmente.,See leht ei toeta automaatset saatmist. Kopeerige sõnum ja saatke see käsitsi.,این صفحه از ارسال خودکار پشتیبانی نمی کند. لطفا پیام را کپی کرده و به صورت دستی ارسال کنید.,Tämä sivu ei tue automaattista lähettämistä. Kopioi viesti ja lähetä se manuaalisesti.,Ang pahinang ito ay hindi sumusuporta sa awtomatikong pagpapadala. Mangyaring kopyahin ang mensahe at manu -manong ipadala ito.,Cette page ne prend pas en charge l'envoi automatique. Veuillez copier le message et l'envoyer manuellement.,આ પૃષ્ઠ સ્વચાલિત મોકલવાનું સમર્થન કરતું નથી. કૃપા કરીને સંદેશની નકલ કરો અને તેને જાતે મોકલો.,דף זה אינו תומך בשליחה אוטומטית. אנא העתק את ההודעה ושלח אותה ידנית.,यह पृष्ठ स्वचालित भेजने का समर्थन नहीं करता है। कृपया संदेश कॉपी करें और इसे मैन्युअल रूप से भेजें।,Ova stranica ne podržava automatsko slanje. Kopirajte poruku i pošaljite je ručno.,"Ez az oldal nem támogatja az automatikus küldéseket. Kérjük, másolja az üzenetet, és küldje el manuálisan.",Halaman ini tidak mendukung pengiriman otomatis. Harap salin pesan dan kirimkan secara manual.,Questa pagina non supporta l'invio automatico. Si prega di copiare il messaggio e inviarlo manualmente.,このページは、自動送信をサポートしていません。メッセージをコピーして手動で送信してください。,ಈ ಪುಟವು ಸ್ವಯಂಚಾಲಿತ ಕಳುಹಿಸುವಿಕೆಯನ್ನು ಬೆಂಬಲಿಸುವುದಿಲ್ಲ. ದಯವಿಟ್ಟು ಸಂದೇಶವನ್ನು ನಕಲಿಸಿ ಮತ್ತು ಅದನ್ನು ಕೈಯಾರೆ ಕಳುಹಿಸಿ.,이 페이지는 자동 전송을 지원하지 않습니다. 메시지를 복사하여 수동으로 보내주십시오.,Šis puslapis nepalaiko automatinio siuntimo. Nukopijuokite pranešimą ir atsiųskite jį rankiniu būdu.,"Šī lapa neatbalsta automātisku sūtīšanu. Lūdzu, nokopējiet ziņojumu un nosūtiet to manuāli.",ഈ പേജ് യാന്ത്രിക അയയ്ക്കുന്നതിനെ പിന്തുണയ്ക്കുന്നില്ല. സന്ദേശം പകർത്തി സ്വമേധയാ അയയ്ക്കുക.,हे पृष्ठ स्वयंचलित पाठविण्यास समर्थन देत नाही. कृपया संदेश कॉपी करा आणि तो व्यक्तिचलितपणे पाठवा.,Halaman ini tidak menyokong penghantaran automatik. Sila salin mesej dan hantarkan secara manual.,Deze pagina ondersteunt geen automatisch verzenden. Kopieer het bericht en stuur het handmatig.,Denne siden støtter ikke automatisk sending. Kopier meldingen og send den manuelt.,Ta strona nie obsługuje automatycznego wysyłania. Skopiuj wiadomość i wysyłaj ją ręcznie.,Esta página não suporta o envio automático. Copie a mensagem e envie -a manualmente.,Esta página não suporta o envio automático. Copie a mensagem e envie -a manualmente.,Această pagină nu acceptă trimiterea automată. Vă rugăm să copiați mesajul și să -l trimiteți manual.,"Эта страница не поддерживает автоматическую отправку. Пожалуйста, скопируйте сообщение и отправьте его вручную.",Táto stránka nepodporuje automatické odosielanie. Skopírujte správu a pošlite ju manuálne.,Ta stran ne podpira samodejnega pošiljanja. Kopirajte sporočilo in ga pošljite ročno.,Ова страница не подржава аутоматско слање. Копирајте поруку и пошаљите га ручно.,Denna sida stöder inte automatisk sändning. Kopiera meddelandet och skicka det manuellt.,Ukurasa huu hauungi mkono kutuma moja kwa moja. Tafadhali nakili ujumbe na utumie kwa mikono.,இந்த பக்கம் தானியங்கி அனுப்புதலை ஆதரிக்காது. தயவுசெய்து செய்தியை நகலெடுத்து கைமுறையாக அனுப்புங்கள்.,ఈ పేజీ ఆటోమేటిక్ పంపడానికి మద్దతు ఇవ్వదు. దయచేసి సందేశాన్ని కాపీ చేసి మానవీయంగా పంపండి.,หน้านี้ไม่รองรับการส่งอัตโนมัติ กรุณาคัดลอกข้อความและส่งด้วยตนเอง,Bu sayfa otomatik göndermeyi desteklemez. Lütfen mesajı kopyalayın ve manuel olarak gönderin.,"Ця сторінка не підтримує автоматичне надсилання. Будь ласка, скопіюйте повідомлення та надішліть його вручну.",Trang này không hỗ trợ gửi tự động. Vui lòng sao chép tin nhắn và gửi thủ công.,此頁面不支持自動發送。請複制消息並手動發送。
chatDocs.autoSending,Auto Sending,自动发送,እንደሚቆጠር መላክ,الإرسال التلقائي,Автоматично изпращане,অটো প্রেরণ,Enviament automàtic,Automatické odesílání,Auto afsendelse,Automatisches Senden,Αυτόματη αποστολή,Envío Automático,Envío Automático,Automaatne Saatmine,ارسال خودکار,Automaattilähetys,Auto Padala,Envoi automatique,આપતી મોકલવું,שליחה אוטומטית,आत्म-भेजन,Automatsko slanje,Automatikus küldés,Pengiriman Otomatis,Invio automatico,自動送信,ಸ್ವಯಂ ಕಳುಹಿಸುತ್ತಿದೆ,자동 전송,Automatinis siuntimas,Automātiska sūtīšana,ഓട്ടോ അയയ്ക്കൽ,स्वत: पाठवणे,Penghantaran Automatik,Automatisch verzenden,Auto Sending,Automatyczne Wysyłanie,Envio Automático,Envio Automático,Trimitere Automată,Автоматическая Отправка,Automatické Odosielanie,Avtomatsko Pošiljanje,Automatsko Slanje,Automatisk sändning,Kutuma Kiotomatiki,தானாக அனுப்புதல்,స్వీయం పంపిణీ,การส่งอัตโนมัติ,Otomatik Gönderim,Автоматичне відправлення,Tự động Gửi,自動發送
chatDocs.chooseContentRelevant,Choose content more relevant to the topic you want to learn about,选择与你想了解的主题更相关的内容,ከመረጡ የሚያሳውቁ ተግባራዎችን ለመረጡ ይችላሉ,اختر محتوى أكثر صلة بالموضوع الذي ترغب في التعلم عنه,"Изберете съдържание, свързано с темата, за която искате да научите повече",আপনি যে বিষয়ে আরও জানতে চান তা সম্পর্কিত কনটেন্ট চয়ন করুন,Trieu contingut més rellevant pel tema que voleu aprendre,"Vyberte obsah více relevantní k tématu, které chcete studovat","Vælg indhold mere relevant for det emne, du ønsker at lære om","Wählen Sie Inhalte, die zum gewünschten Thema passen",Επιλέξτε περιεχόμενο που σχετίζεται περισσότερο με το θέμα που θέλετε να μάθετε,Elige contenido más relevante para el tema que deseas aprender,Elige contenido más relevante para el tema que deseas aprender,Valige teema kohta rohkem seotud sisu,محتوای مرتبط با موضوعی که می‌خواهید درباره آن یاد بگیرید را انتخاب کنید,Valitse aiheeseesi liittyvämpi sisältö,Pumili ng nilalaman na mas kaugnay sa paksa na nais mong malaman,Choisissez un contenu plus pertinent pour le sujet que vous souhaitez apprendre,તમારા શીખવાના વિષય સાથે સંબંધિત કન્ટેન્ટ પસંદ કરો,בחר תוכן הקשור יותר לנושא שברצונך ללמוד עליו,"उस विषय के बारे में सीखना जिस पर आप चर्चा करना चाहते हैं, उससे संबंधित सामग्री चुनें",Odaberite sadržaj koji je relevantan za temu koju želite naučiti,"Válassza ki a témához relevánsabb tartalmat, amiről szeretne tanulni",Pilih konten yang lebih relevan dengan topik yang ingin Anda pelajari,Scegli contenuti più pertinenti all'argomento che vuoi apprendere,学びたいトピックに関連するコンテンツを選択してください,ನೀವು ಕಲಿಯಬಯಸುವ ವಿಷಯಕ್ಕೆ ಹೆಚ್ಚಿನ ಸಂಬಂಧಪಟ್ಟ ವಿಷಯಗಳನ್ನು ಆರಿಸಿ,학습하고 싶은 주제와 관련된 콘텐츠를 선택하세요,"Pasirinkite turinį, kuris yra labiau susijęs su jumis dominančia tema","Izvēlieties saturu, kas ir saistīts ar tēmu, par kuru vēlaties uzzināt",നിങ്ങളുടെ അറിവിനായി കരുതോട്ട വിഷയത്തിനു കൂടുതൽ ബന്ധമായ ഉള്ളടക്കം തിരഞ്ഞെടുക്കുക,तुम्हाला ओळखायचं विषयसंबंधित आशय निवडा,Pilih kandungan yang lebih berkaitan dengan topik yang anda ingin ketahui,Kies inhoud die relevanter is voor het onderwerp dat je wilt leren,Velg innhold som er mer relevant for emnet du vil lære om,"Wybierz treść bardziej związana z tematem, który chcesz się dowiedzieć",Escolha conteúdo mais relevante para o tópico que você deseja aprender,Escolha conteúdo mais relevante para o tópico que deseja aprender,Alegeți conținut mai relevant pentru subiectul pe care doriți să îl învățați,"Выберите более релевантный контент по теме, которую вы хотите изучить","Vyberte obsah, ktorý je viac relevantný pre tému, ktorú chcete študovať","Izberite vsebino, ki je bolj relevantna za temo, ki se je želite naučiti",Izaberite sadržaj koji je relevantniji za temu koju želite naučiti,Välj innehåll som är mer relevant för det ämne du vill lära dig om,Chagua yaliyomo inayohusiana zaidi na mada unayotaka kujifunza kuhusu,நீங்கள் அறிந்திருக்க விரும்பும் பகுதிக்கு உரையாடல் தேர்ந்தெடுக்கவும்,మీరు కలిగిన విషయానికి అనుసంధానం కలిగిన కంటెంట్ ఎంచుకోండి,เลือกเนื้อหาที่เกี่ยวข้องมากขึ้นกับหัวข้อที่คุณต้องการเรียนรู้,Öğrenmek istediğiniz konuyla daha ilgili içerik seçin,"Виберіть вміст, який більше відповідає темі, яку ви хочете вивчити",Chọn nội dung liên quan hơn đến chủ đề bạn muốn tìm hiểu,選擇與你想了解的主題更相關的內容
